combo,dataset,station,sim,template,corr_mean_clean,snr_mean_db_clean,peak_corr_mean_clean,composite_score
ingv_ECPN_sim3_template3,ingv,ECPN,sim3,template3,0.1505422021767777,-0.5988385987416791,0.3334923243504186,0.7847646991946642
ingv_ECPN_sim3_template2,ingv,ECPN,sim3,template2,0.1490820305702658,-0.5945239054654727,0.33220887108477,0.7770548198746623
ingv_ECPN_sim4_template3,ingv,ECPN,sim4,template3,0.1505316120540495,-0.6902255790843089,0.3362650846394171,0.7762834536305985
ingv_ECPN_sim4_template2,ingv,ECPN,sim4,template2,0.1478180977034869,-0.5921539311651839,0.3339217033888513,0.7747937019368093
ingv_ECPN_sim4_template1,ingv,ECPN,sim4,template1,0.1404464434750122,-0.6630032769386403,0.3434406227086797,0.7488313682520924
ingv_ECPN_sim2_template3,ingv,ECPN,sim2,template3,0.140634430968277,-0.5318702878582285,0.3171052044444887,0.7252703128937689
experiment_EC1_sim2_template3,experiment,EC1,sim2,template3,0.1332342387174804,-0.2254959162262614,0.3044685383594904,0.7165378897511615
ingv_ECPN_sim2_template2,ingv,ECPN,sim2,template2,0.1373836250493263,-0.5644302624486995,0.3220009943845565,0.7147732737390851
experiment_EC1_sim2_template2,experiment,EC1,sim2,template2,0.127666351301658,-0.2024776026126995,0.3099483598818606,0.7049914918753769
ingv_ECPN_sim3_template1,ingv,ECPN,sim3,template1,0.1331084413447354,-0.5779628823540175,0.3282790616647854,0.7048597791494706
experiment_EC1_sim4_template1,experiment,EC1,sim4,template1,0.1230538529098506,-0.2296214021417468,0.3216660222571973,0.7005821093478988
experiment_EC1_sim1_template3,experiment,EC1,sim1,template3,0.1128836034792599,-0.2032578690435094,0.3331787974464946,0.6797201868368243
experiment_ECOR_sim3_template1,experiment,ECOR,sim3,template1,0.1207340899801519,-0.4155695047749779,0.3279543066082852,0.6745768053682032
experiment_EC1_sim3_template1,experiment,EC1,sim3,template1,0.1199694499481958,-0.2635276062479206,0.313434693248356,0.6691911689286968
experiment_EC1_sim4_template2,experiment,EC1,sim4,template2,0.1224296824120125,-0.2085752018574274,0.300561008801906,0.666478011675389
experiment_EC1_sim4_template3,experiment,EC1,sim4,template3,0.1224001301164368,-0.2264086989039231,0.3016657612458999,0.665625170754101
experiment_EC10_sim1_template3,experiment,EC10,sim1,template3,0.1156420519146311,-0.3134228275394837,0.3261376040268347,0.6643787435031698
experiment_EC1_sim3_template3,experiment,EC1,sim3,template3,0.1206754399163165,-0.1944824662786272,0.3017702353773495,0.6629663939561597
experiment_ECIT_sim1_template3,experiment,ECIT,sim1,template3,0.1136416274300282,-0.2150099342701921,0.3208048851240845,0.6611028050159128
ingv_ECPN_sim2_template1,ingv,ECPN,sim2,template1,0.1250161424705633,-0.6402162132079893,0.3243014620026591,0.6550272434785522
