dataset,station,sim,template,peak_date,peak_time,peak_corr,snr_linear,snr_db,threshold_used,duration_s,event_dt,matched_arrival_dt,match_delta_s
ingv,ECPN,sim2,template1,2022-11-24,00:23:18,0.5308157619675903,0.8449476059805124,-1.4634044041781982,0.5,,2022-11-24 00:23:18,2022-11-24 00:30:45.858802,-447.858802
ingv,ECPN,sim2,template1,2022-11-24,04:15:22,0.5386523540793486,1.1602749066208964,1.2912179963254633,0.5,,2022-11-24 04:15:22,2022-11-24 04:22:35.886143,-433.886143
ingv,EC1,sim3,template1,2022-11-25,11:25:14,0.5699996876658661,1.0242339212532787,0.2079830997423262,0.5,,2022-11-25 11:25:14,2022-11-25 11:15:14.135279,599.864721
ingv,ECPN,sim1,template2,2022-11-27,14:01:09,0.5157478318134473,0.7286488140446798,-2.7496347524635034,0.5,,2022-11-27 14:01:09,2022-11-27 13:52:11.825867,537.174133
ingv,ECPN,sim2,template2,2022-11-29,00:55:26,0.5000096997185023,1.091806565051843,0.7629140279611629,0.5,,2022-11-29 00:55:26,2022-11-29 00:46:00.856154,565.143846
ingv,ECPN,sim3,template1,2022-12-05,05:57:42,0.555149583060085,1.1400156029126918,1.138215907650707,0.5,,2022-12-05 05:57:42,2022-12-05 05:49:36.084330,485.91567
ingv,ECPN,sim4,template1,2022-12-05,08:57:43,0.5397035091841119,1.3517794094860989,2.618116538337208,0.5,,2022-12-05 08:57:43,2022-12-05 08:48:58.539729,524.460271
ingv,ECPN,sim3,template1,2022-12-05,13:03:25,0.6334939248113218,0.8958767960470397,-0.955034237024614,0.5,,2022-12-05 13:03:25,2022-12-05 12:55:38.919486,466.080514
ingv,ECPN,sim2,template1,2022-12-09,20:08:06,0.5677209155319909,0.7239122590902253,-2.8062813750106,0.5,,2022-12-09 20:08:06,2022-12-09 19:59:45.226528,500.773472
ingv,ECPN,sim4,template2,2022-12-10,19:21:36,0.5288459091290557,0.9144003936397868,-0.7772719130702256,0.5,,2022-12-10 19:21:36,2022-12-10 19:28:41.254882,-425.254882
