dataset,station,sim,template,n_peaks,avg_corr,avg_snr_linear,sst_label
ingv,ECPN,sim1,template3,2361,0.32934378869094777,1.1081702764980468,ECPN-sim1-template3
ingv,ECPN,sim4,template1,2119,0.34269884782076626,1.0483985020258164,ECPN-sim4-template1
ingv,ECPN,sim3,template1,2096,0.3296738488723991,1.1332738215399087,ECPN-sim3-template1
ingv,ECPN,sim1,template2,2095,0.3029386026814815,1.2135770363311127,ECPN-sim1-template2
ingv,ECPN,sim2,template1,2088,0.32749547699187626,1.0584222595958457,ECPN-sim2-template1
ingv,EC1,sim1,template3,2084,0.3167994229599647,1.198592641257395,EC1-sim1-template3
ingv,ECPN,sim1,template1,2017,0.29696700565433565,1.1334773131896052,ECPN-sim1-template1
ingv,ECPN,sim4,template2,2003,0.3328434592757891,1.1512827417414238,ECPN-sim4-template2
ingv,ECPN,sim2,template2,1991,0.3206976281313349,1.230329403499478,ECPN-sim2-template2
ingv,EC1,sim1,template1,1910,0.30194365824037106,1.1909985464477286,EC1-sim1-template1
ingv,ECPN,sim2,template3,1895,0.3214551542404179,1.246173584212152,ECPN-sim2-template3
ingv,ECPN,sim4,template3,1894,0.3290657067732651,1.163942215378515,ECPN-sim4-template3
ingv,ECPN,sim3,template2,1869,0.33088764660653786,1.160963543847994,ECPN-sim3-template2
ingv,ECPN,sim3,template3,1836,0.3311452741971451,1.1690291429906812,ECPN-sim3-template3
ingv,EC1,sim1,template2,1780,0.2937874036447913,1.2375183267642063,EC1-sim1-template2
ingv,EC1,sim2,template1,1656,0.30093689168515103,1.0573969572201167,EC1-sim2-template1
ingv,EC1,sim3,template1,1642,0.2980162839314982,1.09597010846698,EC1-sim3-template1
ingv,EC1,sim4,template1,1590,0.2976008679929469,1.0600545623664919,EC1-sim4-template1
ingv,EC1,sim3,template3,1588,0.2910394072919379,1.1711349393283756,EC1-sim3-template3
ingv,EC1,sim2,template2,1539,0.292023268418797,1.117574223079861,EC1-sim2-template2
ingv,EC1,sim3,template2,1502,0.29304993483229524,1.17756267417743,EC1-sim3-template2
ingv,EC1,sim2,template3,1389,0.2865693344340445,1.1939008991179787,EC1-sim2-template3
ingv,EC1,sim4,template2,1334,0.28840706020421236,1.201564754862197,EC1-sim4-template2
ingv,EC1,sim4,template3,1269,0.2809536092798022,1.2197314665334456,EC1-sim4-template3
ingv,ECPN,sim3,template4,727,0.25436084160944933,1.3637998798679252,ECPN-sim3-template4
ingv,ECPN,sim4,template4,716,0.2520951459947251,1.3685391455231528,ECPN-sim4-template4
ingv,ECPN,sim2,template4,673,0.2457769474372293,1.3393453101583954,ECPN-sim2-template4
ingv,EC1,sim1,template4,447,0.23527046839676963,1.3794757207845554,EC1-sim1-template4
ingv,EC1,sim3,template4,446,0.23499782831608484,1.1858096935791382,EC1-sim3-template4
ingv,ECPN,sim1,template4,428,0.2330972662039538,1.1210850770071654,ECPN-sim1-template4
ingv,EC1,sim2,template4,368,0.23197478726460066,1.2409399674083965,EC1-sim2-template4
experiment,EMAS,sim1,template2,291,0.3097128345198378,1.0177150072486674,EMAS-sim1-template2
experiment,EMAS,sim1,template1,281,0.30575972164327464,1.0244260383772859,EMAS-sim1-template1
experiment,ECIT,sim3,template1,281,0.32375931160928517,0.9858102728811291,ECIT-sim3-template1
experiment,ECOR,sim1,template3,275,0.29843874000145393,0.9771207629962608,ECOR-sim1-template3
experiment,ECIT,sim1,template1,275,0.3064196180919671,0.9968147554511998,ECIT-sim1-template1
experiment,EMAS,sim2,template3,275,0.29254997669384486,1.011460925948871,EMAS-sim2-template3
experiment,EC1,sim1,template3,270,0.3293601796351028,0.9936380336669909,EC1-sim1-template3
experiment,ECIT,sim1,template3,270,0.31993936111427906,0.9932247743113835,ECIT-sim1-template3
experiment,ECOR,sim2,template1,269,0.3355712683995706,0.9943416046571361,ECOR-sim2-template1
experiment,ECIT,sim2,template1,266,0.31970561324583646,0.9915233275450969,ECIT-sim2-template1
experiment,ECOR,sim3,template1,265,0.33012004028209896,0.9960967411880883,ECOR-sim3-template1
experiment,EC1,sim1,template1,261,0.30744929064904836,0.9951095471349987,EC1-sim1-template1
experiment,ECOR,sim1,template2,254,0.2920418710455787,1.0246168853184263,ECOR-sim1-template2
experiment,ECOR,sim1,template1,252,0.3044863449276593,1.0084751525043756,ECOR-sim1-template1
ingv,EC1,sim4,template4,247,0.23405580328168973,1.8467374822158884,EC1-sim4-template4
