dataset,station,sim,template,n_peaks,avg_corr,avg_snr_linear,sst_label
ingv,ECPN,sim4,template1,130,0.5484635795431376,2.3017200293324476,ECPN-sim4-template1
ingv,ECPN,sim4,template2,107,0.5469249010553429,1.0387612296866624,ECPN-sim4-template2
ingv,ECPN,sim3,template1,101,0.5402391911823732,2.606282112158344,ECPN-sim3-template1
ingv,ECPN,sim4,template3,99,0.5476521975426468,1.0651129636962624,ECPN-sim4-template3
ingv,ECPN,sim3,template3,98,0.5518979001361516,1.096058432853873,ECPN-sim3-template3
ingv,ECPN,sim3,template2,97,0.5481701776919118,1.0919585050007423,ECPN-sim3-template2
ingv,ECPN,sim2,template3,80,0.5433500780755379,1.0085902413328554,ECPN-sim2-template3
ingv,ECPN,sim2,template2,73,0.5516694215690086,1.0322003420708714,ECPN-sim2-template2
ingv,ECPN,sim2,template1,66,0.5476827155242783,3.3513475565561928,ECPN-sim2-template1
ingv,ECPN,sim1,template3,57,0.5514161191081598,3.5096522518472115,ECPN-sim1-template3
ingv,EC1,sim1,template3,37,0.5365134685736205,5.359112761453085,EC1-sim1-template3
ingv,EC1,sim2,template1,21,0.5386458606230997,3.9799964339136458,EC1-sim2-template1
ingv,EC1,sim4,template1,20,0.557165077498099,1.2894512050808031,EC1-sim4-template1
ingv,ECPN,sim1,template2,15,0.5235959563916962,1.0120341014331453,ECPN-sim1-template2
ingv,EC1,sim1,template1,13,0.5164134047916223,1.0336745460454413,EC1-sim1-template1
ingv,EC1,sim3,template2,13,0.5200388971776356,1.1235067391762024,EC1-sim3-template2
ingv,EC1,sim3,template1,13,0.5329544857715551,1.1785789151399721,EC1-sim3-template1
ingv,EC1,sim3,template3,12,0.5443532410609403,1.1413364507925654,EC1-sim3-template3
experiment,ECOR,sim3,template1,11,0.5340610190141827,1.110771054710693,ECOR-sim3-template1
ingv,EC1,sim4,template2,11,0.5388127637731336,1.0461295871496714,EC1-sim4-template2
ingv,ECPN,sim1,template1,11,0.5256976235065323,1.0576567260804495,ECPN-sim1-template1
experiment,EC1,sim4,template1,10,0.5326369314995536,1.1339663183336701,EC1-sim4-template1
ingv,EC1,sim2,template2,9,0.5238629300508528,1.028057658289403,EC1-sim2-template2
experiment,ECOR,sim2,template1,9,0.5548764005059412,1.2041806739578613,ECOR-sim2-template1
experiment,EC1,sim4,template3,8,0.5777397851650607,1.2289274971595958,EC1-sim4-template3
ingv,EC1,sim1,template2,8,0.5173036587672266,1.0320405685020189,EC1-sim1-template2
ingv,EC1,sim2,template3,8,0.5452058156888473,0.7639328599691854,EC1-sim2-template3
experiment,EMAS,sim2,template1,7,0.5571711202286297,1.5164812103838348,EMAS-sim2-template1
experiment,EMAS,sim2,template2,7,0.5509886813221916,1.5846635461859204,EMAS-sim2-template2
experiment,EC1,sim1,template3,7,0.514027559332201,1.0851675322789274,EC1-sim1-template3
experiment,EC1,sim3,template2,7,0.5467805570307666,1.4178685832913973,EC1-sim3-template2
experiment,EC1,sim3,template3,6,0.5769655114820933,1.1689347658389153,EC1-sim3-template3
ingv,EC1,sim4,template3,6,0.5193089096457414,1.3096866262528326,EC1-sim4-template3
experiment,EMAS,sim3,template1,5,0.6167045159126763,1.673072434051674,EMAS-sim3-template1
experiment,EC1,sim2,template1,5,0.5620771715556835,1.1976618506773675,EC1-sim2-template1
experiment,EC1,sim4,template2,5,0.5702493223940613,1.243348989765157,EC1-sim4-template2
experiment,ECIT,sim1,template3,5,0.530494815231736,0.9114602229013373,ECIT-sim1-template3
experiment,ECIT,sim2,template2,5,0.5360463095081054,1.1932983928279444,ECIT-sim2-template2
experiment,ECIT,sim4,template1,4,0.5248235572139556,1.1649726865531838,ECIT-sim4-template1
experiment,ECOR,sim1,template1,4,0.6014715828840647,2.57849173720982,ECOR-sim1-template1
experiment,EMAS,sim1,template3,4,0.6138858209137783,1.7067577814030976,EMAS-sim1-template3
experiment,EC1,sim3,template1,4,0.5116006640937978,1.0742245105302453,EC1-sim3-template1
experiment,EMAS,sim4,template1,4,0.6042310814329287,1.5915723306147906,EMAS-sim4-template1
experiment,EMAS,sim4,template2,4,0.5435983749180188,0.7048477534231037,EMAS-sim4-template2
experiment,EC10,sim2,template1,4,0.5443561217626789,2.033895509763533,EC10-sim2-template1
experiment,EC10,sim2,template3,4,0.533099599489172,1.0250851415708273,EC10-sim2-template3
experiment,EC10,sim1,template3,4,0.570391178267743,2.054500686155225,EC10-sim1-template3
experiment,EMAS,sim3,template2,4,0.5281501648626745,0.6735706711627832,EMAS-sim3-template2
experiment,EC1,sim1,template1,3,0.5301443884241966,0.7884922374735699,EC1-sim1-template1
experiment,ECOR,sim4,template3,3,0.5309304492194044,0.9552426039447726,ECOR-sim4-template3
experiment,EC1,sim2,template3,3,0.5140354519379429,0.856918776721255,EC1-sim2-template3
experiment,EC1,sim2,template2,3,0.5712384427077425,0.9189174181814682,EC1-sim2-template2
experiment,ECIT,sim3,template1,3,0.5079160486515113,0.987869571075922,ECIT-sim3-template1
experiment,ECIT,sim2,template3,3,0.5212650912023241,1.275633952567006,ECIT-sim2-template3
experiment,ECIT,sim3,template3,3,0.5573812144986023,1.130714502956419,ECIT-sim3-template3
experiment,ECOR,sim3,template2,2,0.5170895187715823,0.8762538070558517,ECOR-sim3-template2
experiment,EMAS,sim1,template1,2,0.5362599817088758,0.7632265633417713,EMAS-sim1-template1
experiment,ECIT,sim2,template1,2,0.5140196319959269,0.9142464908646104,ECIT-sim2-template1
experiment,ECIT,sim3,template2,2,0.5362633783662513,1.0106600346362808,ECIT-sim3-template2
experiment,EMAS,sim3,template3,2,0.5350507314234595,0.7277505838167724,EMAS-sim3-template3
experiment,ECOR,sim1,template2,2,0.6125559756625102,3.1392096568085357,ECOR-sim1-template2
experiment,EC1,sim1,template2,1,0.5714042418169901,0.947836720824094,EC1-sim1-template2
experiment,ECOR,sim3,template3,1,0.5549716830060671,1.058740626632535,ECOR-sim3-template3
experiment,ECOR,sim4,template1,1,0.5789238877188264,1.1160241728783815,ECOR-sim4-template1
experiment,ECOR,sim4,template2,1,0.5198625998361648,1.046225117770198,ECOR-sim4-template2
experiment,ECIT,sim4,template2,1,0.5138028782968288,1.147547579379837,ECIT-sim4-template2
experiment,EMAS,sim1,template2,1,0.5675727252767596,1.0798416215284998,EMAS-sim1-template2
experiment,ECIT,sim1,template2,1,0.5194574901187362,0.9795775850940894,ECIT-sim1-template2
experiment,EC10,sim4,template1,1,0.5289077879938064,0.9622626477819244,EC10-sim4-template1
experiment,ECIT,sim4,template3,1,0.5662210163099592,1.0831118169488214,ECIT-sim4-template3
experiment,ECOR,sim1,template4,1,0.6674267807029903,3.1745502670543257,ECOR-sim1-template4
experiment,EMAS,sim4,template3,1,0.514285831544548,0.37978383709039,EMAS-sim4-template3
experiment,EC10,sim1,template2,1,0.5857839249918744,0.7222705875555037,EC10-sim1-template2
experiment,EC10,sim1,template1,1,0.545472035158282,0.948683981974646,EC10-sim1-template1
experiment,EC10,sim2,template2,1,0.5139969811060063,1.065057056487075,EC10-sim2-template2
