dataset,station,sim,template,n_peaks,avg_corr,avg_snr_linear,sst_label
ingv,ECPN,sim1,template3,2304,0.3238498117665636,1.048758613045398,ECPN-sim1-template3
ingv,ECPN,sim1,template2,2080,0.30134732368837897,1.2150304709577806,ECPN-sim1-template2
ingv,EC1,sim1,template3,2047,0.31282804060153513,1.1233902746490703,EC1-sim1-template3
ingv,ECPN,sim2,template1,2022,0.32030835644630823,0.9835790006446176,ECPN-sim2-template1
ingv,ECPN,sim1,template1,2006,0.2957127500230425,1.1338930791209116,ECPN-sim1-template1
ingv,ECPN,sim3,template1,1995,0.31901364858502695,1.0587004694835367,ECPN-sim3-template1
ingv,ECPN,sim4,template1,1989,0.3292501725447943,0.9664820623325726,ECPN-sim4-template1
ingv,ECPN,sim2,template2,1918,0.31190673088370713,1.2378702906132883,ECPN-sim2-template2
ingv,EC1,sim1,template1,1897,0.30047391300833826,1.1920766761289252,EC1-sim1-template1
ingv,ECPN,sim4,template2,1896,0.3207618589221962,1.1576328481706744,ECPN-sim4-template2
ingv,ECPN,sim2,template3,1815,0.311674661729779,1.2566455772867215,ECPN-sim2-template3
ingv,ECPN,sim4,template3,1795,0.317009961599912,1.1693929651927448,ECPN-sim4-template3
ingv,EC1,sim1,template2,1772,0.29277830091286156,1.2384459915870605,EC1-sim1-template2
ingv,ECPN,sim3,template2,1772,0.3189935125685688,1.1647409077126571,ECPN-sim3-template2
ingv,ECPN,sim3,template3,1738,0.31869777284960615,1.1731437169799834,ECPN-sim3-template3
ingv,EC1,sim2,template1,1635,0.29788374896484715,1.019858982290108,EC1-sim2-template1
ingv,EC1,sim3,template1,1629,0.2961413934318538,1.0953108607771402,EC1-sim3-template1
ingv,EC1,sim3,template3,1576,0.2891106217556257,1.1713618313730645,EC1-sim3-template3
ingv,EC1,sim4,template1,1570,0.29429431755339086,1.0571323121408318,EC1-sim4-template1
ingv,EC1,sim2,template2,1530,0.29065950570331434,1.1181007911080403,EC1-sim2-template2
ingv,EC1,sim3,template2,1489,0.29106816417380676,1.1780346198826122,EC1-sim3-template2
ingv,EC1,sim2,template3,1381,0.2850710782066451,1.1963916625598254,EC1-sim2-template3
ingv,EC1,sim4,template2,1323,0.2863250777860278,1.2028571107539867,EC1-sim4-template2
ingv,EC1,sim4,template3,1263,0.2798212800619117,1.219304126107225,EC1-sim4-template3
ingv,ECPN,sim3,template4,727,0.25436084160944933,1.3637998798679252,ECPN-sim3-template4
